Alignment not found |  ,  | Line no.  1
Alignment not found |  ,  | Line no.  12569
Alignment not found |  ”  | Line no.  12569
Alignment not found |  year  | Line no.  12570
Alignment not found |  :  | Line no.  12570
Alignment not found |  “  | Line no.  12570
Alignment not found |  Enunugal  | Line no.  12570
Alignment not found |  ,  | Line no.  12570
Alignment not found |  the  | Line no.  12570
Alignment not found |  en-priest  | Line no.  12570
Alignment not found |  Inanna  | Line no.  12570
Alignment not found |  ,  | Line no.  12570
Alignment not found |  was  | Line no.  12570
Alignment not found |  installed  | Line no.  12570
Alignment not found |  .  | Line no.  12570
Alignment not found |  ”  | Line no.  12570
Alignment not found |  Lukalla  | Line no.  12571
Alignment not found |  ,  | Line no.  12571
Alignment not found |  scribe  | Line no.  12572
Alignment not found |  ,  | Line no.  12572
Alignment not found |  son  | Line no.  12573
Alignment not found |  of  | Line no.  12573
Alignment not found |  Ur-E  | Line no.  12573
Alignment not found |  ’  | Line no.  12573
Alignment not found |  e  | Line no.  12573
Alignment not found |  ,  | Line no.  12573
Alignment not found |  cattle  | Line no.  12573
Alignment not found |  manager  | Line no.  12573
Alignment not found |  .  | Line no.  12573
Alignment not found |  3  | Line no.  12574
Alignment not found |  laborer  | Line no.  12574
Alignment not found |  workdays  | Line no.  12574
Alignment not found |  ,  | Line no.  12574
Alignment not found |  at  | Line no.  12575
Alignment not found |  Ešitimgubba  | Line no.  12575
Alignment not found |  ,  | Line no.  12575
Alignment not found |  storehouse  | Line no.  12576
Alignment not found |  stationed  | Line no.  12576
Alignment not found |  ;  | Line no.  12576
Alignment not found |  foreman  | Line no.  12577
Alignment not found |  :  | Line no.  12577
Alignment not found |  ARAD  | Line no.  12577
Alignment not found |  ;  | Line no.  12577
Alignment not found |  under  | Line no.  12578
Alignment not found |  seal  | Line no.  12578
Alignment not found |  of  | Line no.  12578
Alignment not found |  Lu-Ḫaya  | Line no.  12578
Alignment not found |  ;  | Line no.  12578
Alignment not found |  year  | Line no.  12579
Alignment not found |  :  | Line no.  12579
Alignment not found |  “  | Line no.  12579
Alignment not found |  The  | Line no.  12579
Alignment not found |  high-priestess  | Line no.  12579
Alignment not found |  of  | Line no.  12579
Alignment not found |  Ga  | Line no.  12579
Alignment not found |  ’  | Line no.  12579
Alignment not found |  eš  | Line no.  12579
Alignment not found |  was  | Line no.  12579
Alignment not found |  hired  | Line no.  12579
Alignment not found |  .  | Line no.  12579
Alignment not found |  ”  | Line no.  12579
Alignment not found |  Lu-Ḫaya  | Line no.  12580
Alignment not found |  ,  | Line no.  12580
Alignment not found |  scribe  | Line no.  12581
Alignment not found |  ,  | Line no.  12581
Alignment not found |  son  | Line no.  12582
Alignment not found |  of  | Line no.  12582
Alignment not found |  Ur-e  | Line no.  12582
Alignment not found |  ’  | Line no.  12582
Alignment not found |  e  | Line no.  12582
Alignment not found |  ,  | Line no.  12582
Alignment not found |  chief  | Line no.  12582
Alignment not found |  livestock  | Line no.  12582
Alignment not found |  manager  | Line no.  12582
Alignment not found |  .  | Line no.  12582
Alignment not found |  Basket-of-tablets  | Line no.  12583
Alignment not found |  xxx  | Line no.  12584
Alignment not found |  …  | Line no.  12585
Alignment not found |  bundles  | Line no.  12586
Alignment not found |  of  | Line no.  12586
Alignment not found |  …  | Line no.  12586
Alignment not found |  of  | Line no.  12586
Alignment not found |  hazel  | Line no.  12586
Alignment not found |  ,  | Line no.  12586
Alignment not found |  …  | Line no.  12587
Alignment not found |  ,  | Line no.  12587
Alignment not found |  pati  | Line no.  12588
Alignment not found |  ’  | Line no.  12588
Alignment not found |  um-container  | Line no.  12588
Alignment not found |  made  | Line no.  12588
Alignment not found |  of  | Line no.  12588
Alignment not found |  oak  | Line no.  12588
Alignment not found |  …  | Line no.  12588
Alignment not found |  with  | Line no.  12588
Alignment not found |  silver  | Line no.  12588
Alignment not found |  inlay  | Line no.  12588
Alignment not found |  ,  | Line no.  12588
Alignment not found |  3  | Line no.  12589
Alignment not found |  …  | Line no.  12589
Alignment not found |  with  | Line no.  12589
Alignment not found |  a  | Line no.  12589
Alignment not found |  bronze  | Line no.  12589
Alignment not found |  handle  | Line no.  12589
Alignment not found |  ,  | Line no.  12589
Alignment not found |  3  | Line no.  12590
Alignment not found |  foot-stool  | Line no.  12590
Alignment not found |  šakal-wood  | Line no.  12590
Alignment not found |  ,  | Line no.  12590
Alignment not found |  foot-stool  | Line no.  12591
Alignment not found |  of  | Line no.  12591
Alignment not found |  poplar  | Line no.  12591
Alignment not found |  ,  | Line no.  12591
Alignment not found |  3  | Line no.  12592
Alignment not found |  …  | Line no.  12592
Alignment not found |  chairs  | Line no.  12592
Alignment not found |  made  | Line no.  12592
Alignment not found |  of  | Line no.  12592
Alignment not found |  tamarisk  | Line no.  12592
Alignment not found |  ,  | Line no.  12592
Alignment not found |  3  | Line no.  12593
Alignment not found |  long  | Line no.  12593
Alignment not found |  chair  | Line no.  12593
Alignment not found |  ,  | Line no.  12593
Alignment not found |  3  | Line no.  12594
Alignment not found |  bed  | Line no.  12594
Alignment not found |  of  | Line no.  12594
Alignment not found |  fig-tree  | Line no.  12594
Alignment not found |  wood  | Line no.  12594
Alignment not found |  ,  | Line no.  12594
Alignment not found |  3  | Line no.  12595
Alignment not found |  bed  | Line no.  12595
Alignment not found |  of  | Line no.  12595
Alignment not found |  šakal-wood  | Line no.  12595
Alignment not found |  ,  | Line no.  12595
Alignment not found |  3  | Line no.  12596
Alignment not found |  bed  | Line no.  12596
Alignment not found |  of  | Line no.  12596
Alignment not found |  apple-tree  | Line no.  12596
Alignment not found |  wood  | Line no.  12596
Alignment not found |  .  | Line no.  12596
Alignment not found |  Ana-ḫegal  | Line no.  12597
Alignment not found |  ,  | Line no.  12597
Alignment not found |  son  | Line no.  12598
Alignment not found |  of  | Line no.  12598
Alignment not found |  Magure  | Line no.  12598
Alignment not found |  .  | Line no.  12598
Alignment not found |  3  | Line no.  12599
Alignment not found |  gur  | Line no.  12599
Alignment not found |  3  | Line no.  12599
Alignment not found |  barig  | Line no.  12599
Alignment not found |  barley  | Line no.  12599
Alignment not found |  its  | Line no.  12600
Alignment not found |  workmen  | Line no.  12600
Alignment not found |  :  | Line no.  12600
Alignment not found |  five  | Line no.  12600
Alignment not found |  days  | Line no.  12600
Alignment not found |  ;  | Line no.  12600
Alignment not found |  for  | Line no.  12601
Alignment not found |  harvesting  | Line no.  12601
Alignment not found |  barley  | Line no.  12601
Alignment not found |  its  | Line no.  12602
Alignment not found |  sag  | Line no.  12602
Alignment not found |  will  | Line no.  12602
Alignment not found |  be  | Line no.  12602
Alignment not found |  brought  | Line no.  12602
Alignment not found |  in  | Line no.  12602
Alignment not found |  ,  | Line no.  12602
Alignment not found |  from  | Line no.  12603
Alignment not found |  S  | Line no.  12603
Alignment not found |  .  | Line no.  12603
Alignment not found |  ,  | Line no.  12603
Alignment not found |  the  | Line no.  12603
Alignment not found |  shepherd  | Line no.  12603
Alignment not found |  ,  | Line no.  12603
Alignment not found |  Zumakum  | Line no.  12604
Alignment not found |  ,  | Line no.  12604
Alignment not found |  the  | Line no.  12604
Alignment not found |  ploughman  | Line no.  12604
Alignment not found |  ,  | Line no.  12604
Alignment not found |  has  | Line no.  12605
Alignment not found |  received  | Line no.  12605
Alignment not found |  .  | Line no.  12605
Alignment not found |  Instead  | Line no.  12606
Alignment not found |  of  | Line no.  12606
Alignment not found |  Zumakum  | Line no.  12606
Alignment not found |  ,  | Line no.  12606
Alignment not found |  sealed  | Line no.  12607
Alignment not found |  tablet  | Line no.  12607
Alignment not found |  of  | Line no.  12607
Alignment not found |  Beli-re  | Line no.  12607
Alignment not found |  ’  | Line no.  12607
Alignment not found |  i  | Line no.  12607
Alignment not found |  ,  | Line no.  12607
Alignment not found |  the  | Line no.  12607
Alignment not found |  ploughman  | Line no.  12607
Alignment not found |  .  | Line no.  12607
Alignment not found |  Antalu  | Line no.  12608
Alignment not found |  ?  | Line no.  12608
Alignment not found |  ,  | Line no.  12608
Alignment not found |  Ur-Šulpae  | Line no.  12609
Alignment not found |  ,  | Line no.  12609
Alignment not found |  the  | Line no.  12609
Alignment not found |  leatherworker  | Line no.  12609
Alignment not found |  ,  | Line no.  12609
Alignment not found |  Adalal  | Line no.  12610
Alignment not found |  are  | Line no.  12611
Alignment not found |  its  | Line no.  12611
Alignment not found |  witnesses  | Line no.  12611
Alignment not found |  .  | Line no.  12611
Alignment not found |  Year  | Line no.  12612
Alignment not found |  :  | Line no.  12612
Alignment not found |  “  | Line no.  12612
Alignment not found |  Šu-Suen  | Line no.  12612
Alignment not found |  ,  | Line no.  12612
Alignment not found |  the  | Line no.  12612
Alignment not found |  king  | Line no.  12612
Alignment not found |  of  | Line no.  12612
Alignment not found |  Ur  | Line no.  12612
Alignment not found |  ,  | Line no.  12612
Alignment not found |  destroyed  | Line no.  12612
Alignment not found |  the  | Line no.  12612
Alignment not found |  lands  | Line no.  12612
Alignment not found |  of  | Line no.  12612
Alignment not found |  Zabšali  | Line no.  12612
Alignment not found |  .  | Line no.  12612
Alignment not found |  ”  | Line no.  12612
Alignment not found |  ox  | Line no.  12613
Alignment not found |  ,  | Line no.  12613
Alignment not found |  4  | Line no.  12614
Alignment not found |  day  | Line no.  12614
Alignment not found |  ,  | Line no.  12614
Alignment not found |  from  | Line no.  12615
Alignment not found |  Abbasaga  | Line no.  12615
Alignment not found |  Šu-Mama  | Line no.  12616
Alignment not found |  accepted  | Line no.  12617
Alignment not found |  ;  | Line no.  12617
Alignment not found |  month  | Line no.  12618
Alignment not found |  :  | Line no.  12618
Alignment not found |  “  | Line no.  12618
Alignment not found |  šu  | Line no.  12618
Alignment not found |  ’  | Line no.  12618
Alignment not found |  ešša  | Line no.  12618
Alignment not found |  ,  | Line no.  12618
Alignment not found |  ”  | Line no.  12618
Alignment not found |  year  | Line no.  12619
Alignment not found |  :  | Line no.  12619
Alignment not found |  “  | Line no.  12619
Alignment not found |  Šašru  | Line no.  12619
Alignment not found |  was  | Line no.  12619
Alignment not found |  destroyed  | Line no.  12619
Alignment not found |  ;  | Line no.  12619
Alignment not found |  ”  | Line no.  12619
Alignment not found |  3  | Line no.  12620
Alignment not found |  ox  | Line no.  12620
Alignment not found |  .  | Line no.  12620
Alignment not found |  3  | Line no.  12621
Alignment not found |  ?  | Line no.  12621
Alignment not found |  3  | Line no.  12621
Alignment not found |  sar  | Line no.  12621
Alignment not found |  3  | Line no.  12621
Alignment not found |  shekels  | Line no.  12621
Alignment not found |  finished  | Line no.  12621
Alignment not found |  house  | Line no.  12621
Alignment not found |  and  | Line no.  12621
Alignment not found |  lot  | Line no.  12621
Alignment not found |  as  | Line no.  12622
Alignment not found |  its  | Line no.  12622
Alignment not found |  exchange  | Line no.  12622
Alignment not found |  value  | Line no.  12622
Alignment not found |  :  | Line no.  12622
Alignment not found |  3  | Line no.  12622
Alignment not found |  shekels  | Line no.  12622
Alignment not found |  of  | Line no.  12622
Alignment not found |  silver  | Line no.  12622
Alignment not found |  ,  | Line no.  12622
Alignment not found |  did  | Line no.  12623
Alignment not found |  Lu-šalim  | Line no.  12623
Alignment not found |  ,  | Line no.  12623
Alignment not found |  son  | Line no.  12623
Alignment not found |  of  | Line no.  12623
Alignment not found |  Dada  | Line no.  12623
Alignment not found |  ,  | Line no.  12623
Alignment not found |  the  | Line no.  12623
Alignment not found |  household  | Line no.  12623
Alignment not found |  administrator  | Line no.  12623
Alignment not found |  ,  | Line no.  12623
Alignment not found |  to  | Line no.  12624
Alignment not found |  Lu-bala-saga  | Line no.  12624
Alignment not found |  ,  | Line no.  12624
Alignment not found |  son  | Line no.  12624
Alignment not found |  of  | Line no.  12624
Alignment not found |  Šeškala  | Line no.  12624
Alignment not found |  ,  | Line no.  12624
Alignment not found |  Enlilda  | Line no.  12625
Alignment not found |  and  | Line no.  12625
Alignment not found |  Lugal-HAR  | Line no.  12625
Alignment not found |  ,  | Line no.  12625
Alignment not found |  his  | Line no.  12625
Alignment not found |  children  | Line no.  12625
Alignment not found |  ,  | Line no.  12625
Alignment not found |  and  | Line no.  12626
Alignment not found |  Geme-Enlila  | Line no.  12626
Alignment not found |  ,  | Line no.  12626
Alignment not found |  his  | Line no.  12626
Alignment not found |  wife  | Line no.  12626
Alignment not found |  ,  | Line no.  12626
Alignment not found |  give  | Line no.  12627
Alignment not found |  in  | Line no.  12627
Alignment not found |  exchange  | Line no.  12627
Alignment not found |  for  | Line no.  12627
Alignment not found |  it  | Line no.  12627
Alignment not found |  .  | Line no.  12627
Alignment not found |  Ninurta  | Line no.  12628
Alignment not found |  ,  | Line no.  12628
Alignment not found |  big-governor  | Line no.  12629
Alignment not found |  of  | Line no.  12630
Alignment not found |  Enlil  | Line no.  12630
Alignment not found |  .  | Line no.  12630
Alignment not found |  Basket-of-tablets  | Line no.  12631
Alignment not found |  xxx  | Line no.  12633
Alignment not found |  xxx  | Line no.  12635
Alignment not found |  Basket-of-tablets  | Line no.  12638
Alignment not found |  xxx  | Line no.  12639
Alignment not found |  xxx  | Line no.  12640
Alignment not found |  are  | Line no.  12641
Alignment not found |  here  | Line no.  12641
Alignment not found |  ;  | Line no.  12641
Alignment not found |  year  | Line no.  12642
Alignment not found |  :  | Line no.  12642
Alignment not found |  “  | Line no.  12642
Alignment not found |  xxx  | Line no.  12642
Alignment not found |  .  | Line no.  12642
Alignment not found |  ”  | Line no.  12642
Alignment not found |  Basket-of-tablets  | Line no.  12643
Alignment not found |  xxx  | Line no.  12644
Alignment not found |  xxx  | Line no.  12645
Alignment not found |  xxx  | Line no.  12646
Alignment not found |  For  | Line no.  12647
Alignment not found |  Enki  | Line no.  12647
Alignment not found |  ,  | Line no.  12647
Alignment not found |  his  | Line no.  12648
Alignment not found |  master  | Line no.  12648
Alignment not found |  ,  | Line no.  12648
Alignment not found |  Šulgi  | Line no.  12649
Alignment not found |  ,  | Line no.  12649
Alignment not found |  the  | Line no.  12650
Alignment not found |  mighty  | Line no.  12650
Alignment not found |  man  | Line no.  12650
Alignment not found |  ,  | Line no.  12650
Alignment not found |  king  | Line no.  12651
Alignment not found |  of  | Line no.  12651
Alignment not found |  Ur  | Line no.  12651
Alignment not found |  and  | Line no.  12652
Alignment not found |  king  | Line no.  12652
Alignment not found |  of  | Line no.  12652
Alignment not found |  Sumer  | Line no.  12652
Alignment not found |  and  | Line no.  12652
Alignment not found |  Akkad  | Line no.  12652
Alignment not found |  ,  | Line no.  12652
Alignment not found |  his  | Line no.  12653
Alignment not found |  temple  | Line no.  12653
Alignment not found |  he  | Line no.  12654
Alignment not found |  built  | Line no.  12654
Alignment not found |  for  | Line no.  12654
Alignment not found |  him  | Line no.  12654
Alignment not found |  .  | Line no.  12654
Alignment not found |  Basket-of-tablets  | Line no.  12655
Alignment not found |  Basket-of-tablets  | Line no.  12661
Alignment not found |  xxx  | Line no.  12664
Alignment not found |  xxx  | Line no.  12665
Alignment not found |  xxx  | Line no.  12666
Alignment not found |  xxx  | Line no.  12667
Alignment not found |  xxx  | Line no.  12668
Alignment not found |  xxx  | Line no.  12669
Alignment not found |  xxx  | Line no.  12670
Alignment not found |  xxx  | Line no.  12671
Alignment not found |  Lu-Suen  | Line no.  12672
Alignment not found |  son  | Line no.  12673
Alignment not found |  of  | Line no.  12673
Alignment not found |  Ur-saga  | Line no.  12673
Alignment not found |  ,  | Line no.  12673
Alignment not found |  herdsman  | Line no.  12674
Alignment not found |  of  | Line no.  12674
Alignment not found |  grain-fed  | Line no.  12674
Alignment not found |  oxen  | Line no.  12674
Alignment not found |  .  | Line no.  12674
Alignment not found |  Basket-of-tablets  | Line no.  12675
Alignment not found |  long-tablets  | Line no.  12676
Alignment not found |  ,  | Line no.  12676
Alignment not found |  various  | Line no.  12677
Alignment not found |  ones  | Line no.  12677
Alignment not found |  ,  | Line no.  12677
Alignment not found |  are  | Line no.  12678
Alignment not found |  here  | Line no.  12678
Alignment not found |  .  | Line no.  12678
Alignment not found |  Basket-of-tablets  | Line no.  12679
Alignment not found |  xxx  | Line no.  12681
Alignment not found |  xxx  | Line no.  12687
Alignment not found |  xxx  | Line no.  12688
Alignment not found |  Basket-of-tablets  | Line no.  12689
Alignment not found |  xxx  | Line no.  12690
Alignment not found |  xxx  | Line no.  12691
Alignment not found |  xxx  | Line no.  12692
Alignment not found |  xxx  | Line no.  12693
Alignment not found |  xxx  | Line no.  12694
Alignment not found |  ,  | Line no.  12695
Alignment not found |  the  | Line no.  12696
Alignment not found |  mighty  | Line no.  12696
Alignment not found |  king  | Line no.  12696
Alignment not found |  ,  | Line no.  12696
Alignment not found |  king  | Line no.  12697
Alignment not found |  of  | Line no.  12697
Alignment not found |  Ur  | Line no.  12697
Alignment not found |  and  | Line no.  12698
Alignment not found |  king  | Line no.  12698
Alignment not found |  of  | Line no.  12698
Alignment not found |  the  | Line no.  12698
Alignment not found |  four  | Line no.  12698
Alignment not found |  world  | Line no.  12698
Alignment not found |  quarters  | Line no.  12698
Alignment not found |  ,  | Line no.  12698
Alignment not found |  when  | Line no.  12699
Alignment not found |  the  | Line no.  12699
Alignment not found |  land  | Line no.  12699
Alignment not found |  of  | Line no.  12699
Alignment not found |  Zabšali  | Line no.  12699
Alignment not found |  and  | Line no.  12700
Alignment not found |  the  | Line no.  12700
Alignment not found |  lands  | Line no.  12700
Alignment not found |  of  | Line no.  12701
Alignment not found |  Simaški  | Line no.  12701
Alignment not found |  he  | Line no.  12702
Alignment not found |  destroyed  | Line no.  12702
Alignment not found |  a  | Line no.  12703
Alignment not found |  big  | Line no.  12703
Alignment not found |  goat  | Line no.  12703
Alignment not found |  —  | Line no.  12703
Alignment not found |  tribute  | Line no.  12704
Alignment not found |  of  | Line no.  12704
Alignment not found |  Anšan  | Line no.  12704
Alignment not found |  which  | Line no.  12705
Alignment not found |  they  | Line no.  12705
Alignment not found |  had  | Line no.  12705
Alignment not found |  brought  | Line no.  12705
Alignment not found |  to  | Line no.  12705
Alignment not found |  him  | Line no.  12705
Alignment not found |  —  | Line no.  12705
Alignment not found |  a  | Line no.  12706
Alignment not found |  representation  | Line no.  12706
Alignment not found |  of  | Line no.  12706
Alignment not found |  it  | Line no.  12706
Alignment not found |  he  | Line no.  12707
Alignment not found |  fashioned  | Line no.  12707
Alignment not found |  for  | Line no.  12707
Alignment not found |  her  | Line no.  12707
Alignment not found |  ,  | Line no.  12707
Alignment not found |  and  | Line no.  12708
Alignment not found |  for  | Line no.  12708
Alignment not found |  his  | Line no.  12708
Alignment not found |  life  | Line no.  12708
Alignment not found |  he  | Line no.  12709
Alignment not found |  dedicated  | Line no.  12709
Alignment not found |  it  | Line no.  12709
Alignment not found |  to  | Line no.  12709
Alignment not found |  her  | Line no.  12709
Alignment not found |  grain-fed  | Line no.  12710
Alignment not found |  sheep  | Line no.  12710
Alignment not found |  ,  | Line no.  12710
Alignment not found |  3  | Line no.  12711
Alignment not found |  grain-fed  | Line no.  12711
Alignment not found |  sheep  | Line no.  12711
Alignment not found |  “  | Line no.  12711
Alignment not found |  attached  | Line no.  12711
Alignment not found |  to  | Line no.  12711
Alignment not found |  the  | Line no.  12711
Alignment not found |  ox  | Line no.  12711
Alignment not found |  ,  | Line no.  12711
Alignment not found |  ”  | Line no.  12711
Alignment not found |  3  | Line no.  12712
Alignment not found |  grain-fed  | Line no.  12712
Alignment not found |  large  | Line no.  12712
Alignment not found |  billy  | Line no.  12712
Alignment not found |  goats  | Line no.  12712
Alignment not found |  ,  | Line no.  12712
Alignment not found |  nth  | Line no.  12713
Alignment not found |  day  | Line no.  12713
Alignment not found |  ,  | Line no.  12713
Alignment not found |  from  | Line no.  12714
Alignment not found |  Abbasaga  | Line no.  12714
Alignment not found |  Nalu  | Line no.  12715
Alignment not found |  took  | Line no.  12715
Alignment not found |  control  | Line no.  12715
Alignment not found |  of  | Line no.  12715
Alignment not found |  .  | Line no.  12715
Alignment not found |  Month  | Line no.  12716
Alignment not found |  weaving  | Line no.  12716
Alignment not found |  of  | Line no.  12716
Alignment not found |  Ninazu  | Line no.  12716
Alignment not found |  ,  | Line no.  12716
Alignment not found |  year  | Line no.  12717
Alignment not found |  :  | Line no.  12717
Alignment not found |  “  | Line no.  12717
Alignment not found |  Huhnuri  | Line no.  12717
Alignment not found |  was  | Line no.  12717
Alignment not found |  destroyed  | Line no.  12717
Alignment not found |  .  | Line no.  12717
Alignment not found |  ”  | Line no.  12717
Alignment not found |  3  | Line no.  12718
Alignment not found |  nanny  | Line no.  12718
Alignment not found |  goat  | Line no.  12718
Alignment not found |  ,  | Line no.  12718
Alignment not found |  Šimaškian  | Line no.  12718
Alignment not found |  ,  | Line no.  12718
Alignment not found |  4  | Line no.  12719
Alignment not found |  day  | Line no.  12719
Alignment not found |  ;  | Line no.  12719
Alignment not found |  from  | Line no.  12720
Alignment not found |  Abbasaga  | Line no.  12720
Alignment not found |  Ūta-mīšaram  | Line no.  12721
Alignment not found |  accepted  | Line no.  12722
Alignment not found |  ;  | Line no.  12722
Alignment not found |  month  | Line no.  12723
Alignment not found |  :  | Line no.  12723
Alignment not found |  “  | Line no.  12723
Alignment not found |  šu  | Line no.  12723
Alignment not found |  ’  | Line no.  12723
Alignment not found |  ešša  | Line no.  12723
Alignment not found |  ,  | Line no.  12723
Alignment not found |  ”  | Line no.  12723
Alignment not found |  year  | Line no.  12724
Alignment not found |  :  | Line no.  12724
Alignment not found |  “  | Line no.  12724
Alignment not found |  Ḫuḫnuri  | Line no.  12724
Alignment not found |  was  | Line no.  12724
Alignment not found |  destroyed  | Line no.  12724
Alignment not found |  .  | Line no.  12724
Alignment not found |  ”  | Line no.  12724
Alignment not found |  3  | Line no.  12725
Alignment not found |  .  | Line no.  12725
Alignment not found |  Basket-of-tablets  | Line no.  12726
Alignment not found |  xxx  | Line no.  12727
Alignment not found |  xxx  | Line no.  12728
Alignment not found |  xxx  | Line no.  12729
Alignment not found |  Basket-of-tablets  | Line no.  12730
Alignment not found |  threshed  | Line no.  12731
Alignment not found |  barley  | Line no.  12731
Alignment not found |  ,  | Line no.  12731
Alignment not found |  …  | Line no.  12731
Alignment not found |  …  | Line no.  12732
Alignment not found |  ,  | Line no.  12732
Alignment not found |  year  | Line no.  12733
Alignment not found |  :  | Line no.  12733
Alignment not found |  “  | Line no.  12733
Alignment not found |  Simurum  | Line no.  12733
Alignment not found |  Lulubu  | Line no.  12733
Alignment not found |  ”  | Line no.  12733
Alignment not found |  and  | Line no.  12734
Alignment not found |  the  | Line no.  12734
Alignment not found |  year  | Line no.  12734
Alignment not found |  :  | Line no.  12734
Alignment not found |  “  | Line no.  12734
Alignment not found |  Urbilum  | Line no.  12734
Alignment not found |  ,  | Line no.  12734
Alignment not found |  ”  | Line no.  12734
Alignment not found |  are  | Line no.  12735
Alignment not found |  here  | Line no.  12735
Alignment not found |  .  | Line no.  12735
Alignment not found |  Ebarad  | Line no.  12736
Alignment not found |  ,  | Line no.  12736
Alignment not found |  king  | Line no.  12737
Alignment not found |  of  | Line no.  12737
Alignment not found |  Anshan  | Line no.  12737
Alignment not found |  and  | Line no.  12737
Alignment not found |  Susa  | Line no.  12737
Alignment not found |  Silḫaḫa  | Line no.  12738
Alignment not found |  Grand-Regent  | Line no.  12739
Alignment not found |  ,  | Line no.  12739
Alignment not found |  Addašu…  | Line no.  12740
Alignment not found |  Anshan  | Line no.  12741
Alignment not found |  and  | Line no.  12741
Alignment not found |  Susa  | Line no.  12741
Alignment not found |  did  | Line no.  12742
Alignment not found |  Addaḫušu  | Line no.  12742
Alignment not found |  Regent  | Line no.  12743
Alignment not found |  and  | Line no.  12743
Alignment not found |  …  | Line no.  12743
Alignment not found |  in  | Line no.  12743
Alignment not found |  Susa  | Line no.  12743
Alignment not found |  ,  | Line no.  12743
Alignment not found |  son  | Line no.  12744
Alignment not found |  of  | Line no.  12744
Alignment not found |  the  | Line no.  12744
Alignment not found |  sister  | Line no.  12744
Alignment not found |  of  | Line no.  12744
Alignment not found |  Silḫaḫa  | Line no.  12744
Alignment not found |  the  | Line no.  12745
Alignment not found |  house  | Line no.  12745
label .01 or .02 does not exist for the predicate. 12745
Alignment not found |  of  | Line no.  12745
Alignment not found |  …  | Line no.  12745
Alignment not found |  build  | Line no.  12746
Alignment not found |  .  | Line no.  12746
Alignment not found |  3  | Line no.  12747
Alignment not found |  sila3  | Line no.  12747
Alignment not found |  beer  | Line no.  12747
Alignment not found |  ,  | Line no.  12747
Alignment not found |  3  | Line no.  12747
Alignment not found |  sila3  | Line no.  12747
Alignment not found |  bread  | Line no.  12747
Alignment not found |  ,  | Line no.  12747
Alignment not found |  3  | Line no.  12747
Alignment not found |  bundles  | Line no.  12747
Alignment not found |  onions  | Line no.  12747
Alignment not found |  ,  | Line no.  12747
Alignment not found |  shekels  | Line no.  12748
Alignment not found |  oil  | Line no.  12748
Alignment not found |  ,  | Line no.  12748
Alignment not found |  shekels  | Line no.  12748
Alignment not found |  alkali-plant  | Line no.  12748
Alignment not found |  ,  | Line no.  12748
Alignment not found |  for  | Line no.  12749
Alignment not found |  Titi  | Line no.  12749
Alignment not found |  ;  | Line no.  12749
Alignment not found |  3  | Line no.  12750
Alignment not found |  sila3  | Line no.  12750
Alignment not found |  beer  | Line no.  12750
Alignment not found |  ,  | Line no.  12750
Alignment not found |  3  | Line no.  12750
Alignment not found |  sila3  | Line no.  12750
Alignment not found |  bread  | Line no.  12750
Alignment not found |  ,  | Line no.  12750
Alignment not found |  3  | Line no.  12750
Alignment not found |  bundles  | Line no.  12750
Alignment not found |  onions  | Line no.  12750
Alignment not found |  ,  | Line no.  12750
Alignment not found |  shekels  | Line no.  12751
Alignment not found |  oil  | Line no.  12751
Alignment not found |  ,  | Line no.  12751
Alignment not found |  shekels  | Line no.  12751
Alignment not found |  alkali-plant  | Line no.  12751
Alignment not found |  ,  | Line no.  12751
Alignment not found |  for  | Line no.  12752
Alignment not found |  Ka  | Line no.  12752
Alignment not found |  ’  | Line no.  12752
Alignment not found |  amu  | Line no.  12752
Alignment not found |  ;  | Line no.  12752
Alignment not found |  3  | Line no.  12753
Alignment not found |  ban2  | Line no.  12753
Alignment not found |  beer  | Line no.  12753
Alignment not found |  ,  | Line no.  12753
Alignment not found |  3  | Line no.  12753
Alignment not found |  ban2  | Line no.  12753
Alignment not found |  bread  | Line no.  12753
Alignment not found |  ,  | Line no.  12753
Alignment not found |  3  | Line no.  12753
Alignment not found |  bundles  | Line no.  12753
Alignment not found |  onions  | Line no.  12753
Alignment not found |  ,  | Line no.  12753
Alignment not found |  oil  | Line no.  12754
Alignment not found |  ,  | Line no.  12754
Alignment not found |  shekels  | Line no.  12754
Alignment not found |  alkali-plant  | Line no.  12754
Alignment not found |  ,  | Line no.  12754
Alignment not found |  for  | Line no.  12755
Alignment not found |  Lugal-Lammamu  | Line no.  12755
Alignment not found |  ;  | Line no.  12755
Alignment not found |  3  | Line no.  12756
Alignment not found |  sila3  | Line no.  12756
Alignment not found |  beer  | Line no.  12756
Alignment not found |  ,  | Line no.  12756
Alignment not found |  3  | Line no.  12756
Alignment not found |  sila3  | Line no.  12756
Alignment not found |  bread  | Line no.  12756
Alignment not found |  ,  | Line no.  12756
Alignment not found |  3  | Line no.  12756
Alignment not found |  bundles  | Line no.  12756
Alignment not found |  onions  | Line no.  12756
Alignment not found |  ,  | Line no.  12756
Alignment not found |  3  | Line no.  12757
Alignment not found |  shekels  | Line no.  12757
Alignment not found |  oil  | Line no.  12757
Alignment not found |  ,  | Line no.  12757
Alignment not found |  3  | Line no.  12757
Alignment not found |  shekels  | Line no.  12757
Alignment not found |  alkali-plant  | Line no.  12757
Alignment not found |  ,  | Line no.  12757
Alignment not found |  for  | Line no.  12758
Alignment not found |  Inhan  | Line no.  12758
Alignment not found |  ;  | Line no.  12758
